level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	52	1	1	2	215	1250	32	11	96.944817	rare
5	1	52	1	1	3	253	1245	63	16	96.970474	disease
5	1	52	1	1	4	323	1245	112	20	96.823265	professionals.
2	1	53	0	0	0	1150	1236	381	30	-1	
3	1	53	1	0	0	1150	1236	381	30	-1	
4	1	53	1	1	0	1150	1236	381	30	-1	
5	1	53	1	1	1	1150	1236	86	30	96.741577	Explore
5	1	53	1	1	2	1246	1237	64	23	97.015312	RARE
5	1	53	1	1	3	1320	1236	120	24	96.705780	Revolution
5	1	53	1	1	4	1448	1236	83	24	96.936913	insider
2	1	54	0	0	0	1150	1279	445	25	-1	
3	1	54	1	0	0	1150	1279	445	25	-1	
4	1	54	1	1	0	1150	1279	445	25	-1	
5	1	54	1	1	1	1150	1279	445	25	92.144058	rarerevolutionmagazine.com/insider-splash/
